The maximum sample data size is 10000

	insertionsort(): sorted
         N	 repetitions	   sort(sec)
      1000	      229072	    0.000004
      2000	      139769	    0.000007
      3000	       98513	    0.000010
      4000	       75147	    0.000013
      5000	       61019	    0.000016
      6000	       51658	    0.000019
      7000	       44154	    0.000023
      8000	       39103	    0.000026
      9000	       34908	    0.000029
     10000	       30797	    0.000032

	insertionsort(): randomized
         N	 repetitions	   sort(sec)
      1000	        1553	    0.000644
      2000	         395	    0.002536
      3000	         180	    0.005584
      4000	         103	    0.009787
      5000	          66	    0.015197
      6000	          46	    0.021953
      7000	          29	    0.034610
      8000	          21	    0.048334
      9000	          20	    0.050718
     10000	          16	    0.062502

	insertionsort(): reversed
         N	 repetitions	   sort(sec)
      1000	         809	    0.001238
      2000	         204	    0.004905
      3000	          91	    0.011005
      4000	          51	    0.019650
      5000	          33	    0.031116
      6000	          23	    0.044148
      7000	          17	    0.060264
      8000	          13	    0.078942
      9000	          10	    0.101836
     10000	           9	    0.123614

	mergesort(): sorted
         N	 repetitions	   sort(sec)
      1000	       18102	    0.000055
      2000	        8577	    0.000117
      3000	        5485	    0.000182
      4000	        4057	    0.000247
      5000	        3176	    0.000315
      6000	        2573	    0.000389
      7000	        2179	    0.000459
      8000	        1926	    0.000519
      9000	        1672	    0.000598
     10000	        1513	    0.000661

	mergesort(): randomized
         N	 repetitions	   sort(sec)
      1000	        9920	    0.000101
      2000	        4544	    0.000220
      3000	        2892	    0.000346
      4000	        2081	    0.000481
      5000	        1619	    0.000618
      6000	        1327	    0.000754
      7000	        1116	    0.000897
      8000	         967	    0.001035
      9000	         840	    0.001192
     10000	         751	    0.001333

	mergesort(): reversed
         N	 repetitions	   sort(sec)
      1000	       17408	    0.000057
      2000	        8293	    0.000121
      3000	        5349	    0.000187
      4000	        3943	    0.000254
      5000	        3079	    0.000325
      6000	        2509	    0.000399
      7000	        2120	    0.000472
      8000	        1839	    0.000544
      9000	        1596	    0.000627
     10000	        1454	    0.000688

	quicksort(): sorted
         N	 repetitions	   sort(sec)
      1000	         401	    0.002497
      2000	         101	    0.009958
      3000	          45	    0.022380
      4000	          26	    0.039772
      5000	          17	    0.062118
      6000	          12	    0.089452
      7000	           9	    0.121673
      8000	           7	    0.159068
      9000	           5	    0.201249
     10000	           4	    0.251869

	quicksort(): randomized
         N	 repetitions	   sort(sec)
      1000	       13034	    0.000077
      2000	        5559	    0.000180
      3000	        3441	    0.000291
      4000	        2445	    0.000409
      5000	        1920	    0.000521
      6000	        1562	    0.000640
      7000	        1331	    0.000752
      8000	        1121	    0.000893
      9000	         937	    0.001068
     10000	         889	    0.001126

	quicksort(): reversed
         N	 repetitions	   sort(sec)
      1000	         553	    0.001811
      2000	         139	    0.007215
      3000	          62	    0.016201
      4000	          35	    0.028747
      5000	          23	    0.044937
      6000	          16	    0.064667
      7000	          12	    0.087996
      8000	           9	    0.115050
      9000	           7	    0.145648
     10000	           6	    0.179938
